text,label
اڄ جو ڏينهن بهترين هو,2
ٺيڪ ٿو لڳي,1
هي ڪم پسند نه آيو,0
هي ڪم شاندار آهي,2
فلم ناڪام هئي,0
ٺيڪ ٿو لڳي,1
نتيجو مناسب آهي,1
فلم ناڪام هئي,0
ڪتاب ٺيڪ آهي,1
مون کي هي پسند آيو,2
خدمت سست هئي,0
عام ڳالهه آهي,1
فلم ناڪام هئي,0
ٺيڪ ٿو لڳي,1
فلم ناڪام هئي,0
تجربو لاجواب هو,2
خدمت بهترين هئي,2
نتيجو مناسب آهي,1
خدمت سست هئي,0
هي فلم تمام سٺو آهي,2
عام ڳالهه آهي,1
خوراڪ تمام خراب هئي,0
عام ڳالهه آهي,1
ٺيڪ ٿو لڳي,1
قابلِ قبول آهي,1
قابلِ قبول آهي,1
نتيجو مناسب آهي,1
عام ڳالهه آهي,1
نتيجو مناسب آهي,1
نتيجو مناسب آهي,1
مان مايوس آهيان,0
نتيجو مناسب آهي,1
قابلِ قبول آهي,1
فلم ناڪام هئي,0
مون کي هي پسند آيو,2
نتيجو مناسب آهي,1
ڪتاب ٺيڪ آهي,1
فلم ناڪام هئي,0
ڪتاب ٺيڪ آهي,1
تجربو لاجواب هو,2
عام ڳالهه آهي,1
خدمت بهترين هئي,2
نتيجو مناسب آهي,1
اڄ جو ڏينهن بهترين هو,2
خدمت بهترين هئي,2
قابلِ قبول آهي,1
خدمت سست هئي,0
مان مايوس آهيان,0
فلم ناڪام هئي,0
عام ڳالهه آهي,1
مون کي هي پسند آيو,2
اڄ جو ڏينهن بهترين هو,2
قابلِ قبول آهي,1
هي ڪم پسند نه آيو,0
هي ڪم پسند نه آيو,0
عام ڳالهه آهي,1
عام ڳالهه آهي,1
خوراڪ تمام خراب هئي,0
اڄ جو ڏينهن بهترين هو,2
مان مايوس آهيان,0
خوراڪ تمام خراب هئي,0
قابلِ قبول آهي,1
خوراڪ تمام خراب هئي,0
اهو تمام بيڪار هو,0
اهو تمام بيڪار هو,0
تجربو لاجواب هو,2
قابلِ قبول آهي,1
خوراڪ تمام خراب هئي,0
عام ڳالهه آهي,1
خوراڪ تمام خراب هئي,0
خدمت بهترين هئي,2
ڪتاب ٺيڪ آهي,1
هي ڪم پسند نه آيو,0
اڄ جو ڏينهن بهترين هو,2
فلم ناڪام هئي,0
خدمت بهترين هئي,2
تجربو لاجواب هو,2
هي فلم تمام سٺو آهي,2
نتيجو مناسب آهي,1
عام ڳالهه آهي,1
ڪتاب ٺيڪ آهي,1
اڄ جو ڏينهن بهترين هو,2
خدمت سست هئي,0
اهو تمام بيڪار هو,0
خدمت بهترين هئي,2
خوراڪ تمام خراب هئي,0
ٺيڪ ٿو لڳي,1
مان مايوس آهيان,0
ٺيڪ ٿو لڳي,1
نتيجو مناسب آهي,1
ڪتاب ٺيڪ آهي,1
خدمت سست هئي,0
خدمت بهترين هئي,2
ٺيڪ ٿو لڳي,1
تجربو لاجواب هو,2
خدمت سست هئي,0
اهو تمام بيڪار هو,0
هي فلم تمام سٺو آهي,2
ڪتاب ٺيڪ آهي,1
ڪتاب ٺيڪ آهي,1
اهو تمام بيڪار هو,0
هي ڪم پسند نه آيو,0
سروس عام هئي,1
هي فلم تمام سٺو آهي,2
سروس عام هئي,1
قابلِ قبول آهي,1
ڪتاب ٺيڪ آهي,1
مون کي هي پسند آيو,2
ڪتاب ٺيڪ آهي,1
خدمت سست هئي,0
